Salary,Age,Player_Efficiency_Rating,Blocks,Turnovers_Pct,Steals,Assists_Pct,Games_Started,Games_Played,Total_Rebounds,Field_Goals,Defensive_Box_Plus_Minus,Defensive_Rebound_Pct,Usage_Pct,Free-Throws
17826150,26,17.4,40,8,66,9.3,78,78,285,644,-2.1,9.2,26.1,186
8393000,27,13.8,48,12.7,36,5.3,62,71,403,216,0.7,22.9,15.3,38
4046760,22,8.1,36,20.8,78,19.4,7,78,166,118,1.5,12.6,14.2,36
4000000,31,13.6,21,10.1,15,6.4,4,56,206,87,0.3,23,17.6,64
4503600,21,17.4,130,9.7,47,7.3,65,66,475,443,0,18.2,24.3,198
2151704,23,12.5,26,14.3,51,12.4,14,72,208,93,3.7,19,12.1,45
7000000,35,12.1,21,11.5,34,9.4,22,67,187,239,-1,11,15.2,38
28703704,30,22.9,19,13.8,88,29.9,60,60,288,426,-0.4,12.1,24.9,299
3918750,26,20.5,104,14.5,36,14.8,8,79,439,215,3.7,24.8,18.5,64
4666500,28,5.9,5,10.8,7,3.2,2,32,48,34,-1.3,11.5,11.2,13
543471,24,6.7,1,25.2,3,6.1,0,14,10,4,0,14.9,19.1,1
18868625,24,23,25,10.3,83,29.7,72,72,230,671,-2.3,7.5,30.8,297
242963,25,-1.9,0,19.7,1,21.1,0,5,7,3,-1.2,16.3,22.2,2
21461010,31,18.6,89,7.7,46,9.9,72,72,524,500,1.4,16.6,24.5,220
4180000,26,9.6,3,17.1,5,24.8,0,18,52,54,-1.5,14.8,18.7,8
6655325,28,8.4,5,8.6,21,5,15,46,142,97,-1.6,12.3,13.1,43
6666667,25,10.4,6,7.4,46,9.4,2,74,156,207,-1.7,9.3,18.4,51
1471382,24,15.8,40,12.4,82,9.7,7,63,369,190,2.3,19.6,13.4,59
1865547,28,6.5,1,29.1,1,0,0,5,4,1,-0.9,8.2,23.6,2
3500000,27,11.6,24,13.7,18,9.1,5,61,220,77,1.3,14.6,10.9,23
500000,34,11.5,8,10.4,31,13,0,67,104,172,-2.1,10.3,20,40
33285709,32,27,44,16.1,92,41.3,74,74,640,736,1.6,20.7,30,358
7000000,30,21.4,19,11.8,80,19.9,1,81,202,428,-3,9.9,29.1,402
2203000,30,10.3,35,10.1,81,3.1,76,80,174,191,1.5,7.7,11.6,59
2947305,24,15.5,90,19.9,52,5.4,6,57,243,103,5.6,16.7,9.5,44
5000000,36,13.9,4,16.9,14,12.7,1,36,139,71,-0.4,20,18.7,25
1974159,27,8.4,11,8,21,4.8,55,68,142,113,-0.8,13.5,13,11
17190000,31,10.1,20,8.7,48,7,49,56,295,164,-0.2,17.7,14.2,46
1504560,21,9.6,1,9.5,5,8.7,0,22,23,28,-3,11.5,19.3,15
1312611,24,14.9,12,14.1,84,24.3,28,75,213,290,-1.1,9.6,18.5,109
2500000,27,7.5,1,18.1,39,23.1,2,73,124,145,-1.2,9.8,18.3,75
1700640,20,13.7,0,9.4,7,10.2,1,22,17,33,-3.5,8,22,8
119493,27,-2.2,0,10.7,0,12.7,0,4,9,3,-3.8,29.3,35.4,2
2500000,39,13.9,16,16.5,82,20.8,0,69,157,171,1.4,11.1,20.4,86
22642350,32,20.2,99,11.3,67,24.8,74,74,462,532,2.2,18.7,26.4,278
1500000,33,9.1,2,20.1,10,30.8,1,23,24,25,-2.4,10.5,17,9
12782609,32,15.5,65,13.7,40,6.8,82,82,849,390,1.2,26.8,14.7,103
6606060,30,13.3,9,9.2,44,13.1,0,74,178,264,-2,10.2,19.2,150
1312611,22,10.2,0,14.9,1,8.3,0,5,9,2,-1.3,18.7,12.3,9
5000000,27,12.4,25,7.4,52,9.4,79,79,366,421,-0.2,12.8,20.3,145
4538020,22,12,34,15.6,125,22,24,79,306,269,0.9,10.5,18.8,203
1315448,29,10.4,3,10.1,19,10.1,1,33,76,84,-1.5,10.5,18.7,23
4078320,21,7.2,14,14.1,30,9.6,2,65,146,117,-1,14.7,18.8,40
