,RK,NAME,TEAM,SALARY,Year
17,257,Jakob Poeltl,San Antonio Spurs,"$2,947,320",2019
18,258,Michael Porter Jr.,Denver Nuggets,"$2,894,160",2019
19,259,Justin Jackson,Sacramento Kings,"$2,807,880",2019
20,260,Thon Maker,Milwaukee Bucks,"$2,799,720",2019
21,RK,NAME,TEAM,SALARY,2019
22,261,Seth Curry,Portland Trail Blazers,"$2,795,000",2019
23,262,Cedi Osman,Cleveland Cavaliers,"$2,775,000",2019
24,263,Sam Dekker,Washington Wizards,"$2,760,095",2019
25,264,Troy Brown Jr.,Washington Wizards,"$2,749,080",2019
26,265,Justin Patton,Philadelphia 76ers,"$2,667,600",2019
27,266,Guerschon Yabusele,Boston Celtics,"$2,667,600",2019
28,267,Domantas Sabonis,Indiana Pacers,"$2,659,800",2019
29,268,Jerian Grant,Orlando Magic,"$2,639,314",2019
30,269,Delon Wright,Memphis Grizzlies,"$2,536,898",2019
31,270,D.J. Wilson,Milwaukee Bucks,"$2,534,280",2019
32,RK,NAME,TEAM,SALARY,2019
33,271,Dario Saric,Philadelphia 76ers,"$2,526,840",2019
34,272,Zhaire Smith,Philadelphia 76ers,"$2,526,840",2019
35,273,Taurean Prince,Atlanta Hawks,"$2,526,840",2019
36,274,Justin Anderson,Atlanta Hawks,"$2,516,048",2019
37,275,Manu Ginobili,San Antonio Spurs,"$2,500,000",2019
38,276,Reggie Bullock,Los Angeles Lakers,"$2,500,000",2019
39,277,Bobby Portis,Washington Wizards,"$2,494,346",2019
40,278,Dante Cunningham,San Antonio Spurs,"$2,487,000",2019
41,279,Donte DiVincenzo,Milwaukee Bucks,"$2,481,000",2019
42,280,Rondae Hollis-Jefferson,Brooklyn Nets,"$2,470,357",2019
0,281,Emeka Okafor,Philadelphia 76ers,"$2,445,085",2019
1,282,Kendrick Perkins,Cleveland Cavaliers,"$2,445,085",2019
2,283,Tyus Jones,Minnesota Timberwolves,"$2,444,053",2019
3,284,Jarell Martin,Orlando Magic,"$2,416,222",2019
4,285,T.J. Leaf,Indiana Pacers,"$2,407,560",2019
5,286,Wayne Ellington,Miami Heat,"$2,383,076",2019
6,287,Lonnie Walker IV,San Antonio Spurs,"$2,357,160",2019
7,288,John Collins,Atlanta Hawks,"$2,299,080",2019
8,289,Denzel Valentine,Chicago Bulls,"$2,280,600",2019
9,290,Larry Nance Jr.,Cleveland Cavaliers,"$2,272,391",2019
